Title,PDF,Published
FOOCTTS: Generating Arabic Speech with Acoustic Environment for Football Commentator,http://arxiv.org/pdf/2306.07936v1,2023-06-07
FOOCTTS: Generating Arabic Speech with Acoustic Environment for Football Commentator,http://arxiv.org/pdf/2306.07936v1,2023-06-07
Investigating Sports Commentator Bias within a Large Corpus of American Football Broadcasts,http://arxiv.org/pdf/1909.03343v4,2019-09-07
EfficientNet-Absolute Zero for Continuous Speech Keyword Spotting,http://arxiv.org/pdf/2012.15695v1,2020-12-31
