Title,PDF,Published
Network analysis of the worldwide footballer transfer market,http://arxiv.org/pdf/1811.00300v1,2018-11-01
Pricing Football Players using Neural Networks,http://arxiv.org/pdf/1711.05865v2,2017-11-16
Maximizing performance with an eye on the finances: a chance-constrained model for football transfer market decisions,http://arxiv.org/pdf/1911.04689v2,2019-11-10
Risk-Neutral Pricing and Hedging of In-Play Football Bets,http://arxiv.org/pdf/1811.03931v1,2018-10-29
Locational Marginal Pricing: Towards a Free Market in Power,http://arxiv.org/pdf/2103.10937v1,2021-03-05
NFL Career Success as Predicted by NFL Scouting Combine,http://arxiv.org/pdf/2303.05774v1,2023-03-10
